category,total,pass,fail,degraded,timeout,pass_rate
abbreviations,8,8,0,0,0,1.0
boundary_length,4,4,0,0,0,1.0
code_snippets,4,4,0,0,0,1.0
empty_whitespace,5,0,5,0,0,0.0
lists,5,5,0,0,0,1.0
mixed_case,5,5,0,0,0,1.0
numbers,10,10,0,0,0,1.0
proper_nouns,6,6,0,0,0,1.0
punctuation,10,10,0,0,0,1.0
questions_commands,7,7,0,0,0,1.0
repetition,4,4,0,0,0,1.0
single_word,7,7,0,0,0,1.0
special_chars,7,7,0,0,0,1.0
ssml_markup,5,5,0,0,0,1.0
technical_domain,6,6,0,0,0,1.0
urls_emails,4,4,0,0,0,1.0
very_long,2,2,0,0,0,1.0
