bucket,interface,n_calls,ttfb,rtf,elapsed
short_10_words,websocket,50,"{'p50': 0.41937845400002516, 'p90': 0.4801858137002455, 'p95': 0.5045036900999775, 'p99': 0.5255913535899799, 'mean': 0.4262377925600231, 'std': 0.042036099166320215, 'min': 0.3587603199998739, 'max': 0.5337065909998273}","{'p50': 0.5496988470000412, 'p90': 0.7237936804780597, 'p95': 0.7473868966214307, 'p99': 0.8786601586650816, 'mean': 0.5730453619420487, 'std': 0.10040497890704121, 'min': 0.44272514250008044, 'max': 0.9234358645001066}","{'p50': 1.1763166300002013, 'p90': 1.5648990708000383, 'p95': 1.7646306366501672, 'p99': 2.1970940781499024, 'mean': 1.255389436159985, 'std': 0.2730456796041574, 'min': 0.9527194040001632, 'max': 2.361555455999678}"
short_10_words,rest,50,"{'p50': 0.3679949630002284, 'p90': 0.4115985776003072, 'p95': 0.42952931639993036, 'p99': 0.5293605331398108, 'mean': 0.37352579988001705, 'std': 0.04867739271422654, 'min': 0.30325970000012603, 'max': 0.6169421109998439}","{'p50': 0.4126760180193007, 'p90': 0.5379245016973719, 'p95': 0.5533071391714, 'p99': 0.5572196701653598, 'mean': 0.4363478669183336, 'std': 0.05833366812990776, 'min': 0.362874995000008, 'max': 0.5597288517857025}","{'p50': 0.8962734860001547, 'p90': 1.1228685913998562, 'p95': 1.2419191471000655, 'p99': 1.3930312180800137, 'mean': 0.937506442060012, 'std': 0.15634622067053827, 'min': 0.7153810110003178, 'max': 1.4224978620000002}"
medium_25_words,websocket,50,"{'p50': 0.4324161734998597, 'p90': 0.5050871800995992, 'p95': 0.5251460324501522, 'p99': 0.5660848437998675, 'mean': 0.43957103149999055, 'std': 0.0485899606588776, 'min': 0.35511107399997854, 'max': 0.5666110449997177}","{'p50': 0.3215878797025864, 'p90': 0.3581160784372592, 'p95': 0.39407650725186366, 'p99': 0.42007931745820515, 'mean': 0.32906485303205607, 'std': 0.027648640635415535, 'min': 0.3001391266153895, 'max': 0.4374799660000311}","{'p50': 2.5064039655001125, 'p90': 2.7029556030000097, 'p95': 2.7554163105999123, 'p99': 3.331096704870059, 'mean': 2.4591122270800225, 'std': 0.28568561883961235, 'min': 2.008040804000302, 'max': 3.69939238500001}"
medium_25_words,rest,50,"{'p50': 0.3820111789998464, 'p90': 0.437460237500045, 'p95': 0.4727130195999507, 'p99': 0.48187103289993954, 'mean': 0.3873233797799912, 'std': 0.039554947458656474, 'min': 0.319520422000096, 'max': 0.4829861210000672}","{'p50': 0.2877922628099777, 'p90': 0.33148992368647234, 'p95': 0.3660705663320293, 'p99': 0.4120092042876011, 'mean': 0.2975676412577811, 'std': 0.03036230554099242, 'min': 0.27595472938522286, 'max': 0.420676291874977}","{'p50': 2.2585245944999315, 'p90': 2.457143890399857, 'p95': 2.58652435245001, 'p99': 3.2441724844398636, 'mean': 2.236772419819963, 'std': 0.3046079440945056, 'min': 1.6643488629997591, 'max': 3.3432512899998983}"
long_75_words,websocket,50,"{'p50': 0.45485060899977725, 'p90': 0.515452737600117, 'p95': 0.5213849427997956, 'p99': 0.5476357056000551, 'mean': 0.46063850945998636, 'std': 0.04041785029937305, 'min': 0.36240359799967337, 'max': 0.5640604860000167}","{'p50': 0.2726383573002086, 'p90': 0.3405935549359848, 'p95': 0.3588328121470166, 'p99': 0.37061187368844034, 'mean': 0.29128712329546075, 'std': 0.03254488457756684, 'min': 0.26486249907302895, 'max': 0.3711126447857104}","{'p50': 6.488712728500104, 'p90': 8.274437573999966, 'p95': 8.502405352049935, 'p99': 8.949127442179973, 'mean': 6.787999016740014, 'std': 0.866239758206989, 'min': 5.260681817999739, 'max': 9.227593863000038}"
long_75_words,rest,50,"{'p50': 0.4085154884999156, 'p90': 0.48940003390011955, 'p95': 0.5256406909499446, 'p99': 1.3456184714798807, 'mean': 0.44771098461998915, 'std': 0.24284527071302886, 'min': 0.3333344850002504, 'max': 2.1125815870000224}","{'p50': 0.2575031904206828, 'p90': 0.2631318398179593, 'p95': 0.2677892946959917, 'p99': 0.3400225561794448, 'mean': 0.2611463442013844, 'std': 0.016505693604095727, 'min': 0.25362875923729855, 'max': 0.35009619228811956}","{'p50': 6.002570263000052, 'p90': 6.60492367890015, 'p95': 6.649529201899827, 'p99': 7.959942926589896, 'mean': 6.075788236840017, 'std': 0.5069410313937879, 'min': 5.29649878400005, 'max': 8.262270137999622}"
very_long_150_words,websocket,50,"{'p50': 0.4579533359992638, 'p90': 0.524396469200019, 'p95': 0.5375600787996063, 'p99': 0.5872296740702404, 'mean': 0.46595041927997044, 'std': 0.04665455240976975, 'min': 0.377918690000115, 'max': 0.5981235290000768}","{'p50': 0.19155121586422363, 'p90': 0.20355373337808785, 'p95': 0.2101732129800273, 'p99': 0.2187485275063358, 'mean': 0.1935006623482481, 'std': 0.007745471835892994, 'min': 0.18082907732143305, 'max': 0.22260110105695347}","{'p50': 9.82704797449992, 'p90': 10.649190537500045, 'p95': 10.98577584784989, 'p99': 11.480738636309733, 'mean': 9.890059191279997, 'std': 0.6249372984827378, 'min': 8.776237886000217, 'max': 11.723657988999548}"
very_long_150_words,rest,50,"{'p50': 0.420678781499646, 'p90': 0.516911771300147, 'p95': 0.5391659532999256, 'p99': 0.8005553413402594, 'mean': 0.44168356985999707, 'std': 0.08776074303636962, 'min': 0.3331130460001077, 'max': 0.8106689579999511}","{'p50': 0.1873825699103266, 'p90': 0.19762665346787955, 'p95': 0.20283704746536185, 'p99': 0.20947975459024107, 'mean': 0.1882375841184336, 'std': 0.00808243330540698, 'min': 0.17216135252026007, 'max': 0.2139594138851358}","{'p50': 9.639013161999628, 'p90': 10.311039506100405, 'p95': 10.422719030500184, 'p99': 10.617793329389924, 'mean': 9.61723869288, 'std': 0.525741956298597, 'min': 8.493293390999497, 'max': 10.677806073999818}"
extra_long_300_words,websocket,50,"{'p50': 0.4646942844997284, 'p90': 0.5862721702994349, 'p95': 0.6140354307003689, 'p99': 0.7358926085900017, 'mean': 0.4836483084800057, 'std': 0.07985062072202549, 'min': 0.3925201649999508, 'max': 0.8206736379997892}","{'p50': 0.13003425245119454, 'p90': 0.13644300676776258, 'p95': 0.14038269898490446, 'p99': 0.1507829333989512, 'mean': 0.13040035599627006, 'std': 0.006077811036331656, 'min': 0.11936824624331288, 'max': 0.15884874751243352}","{'p50': 10.568430457000431, 'p90': 11.419759835300464, 'p95': 11.70884715760012, 'p99': 12.403585337719468, 'mean': 10.671696069739992, 'std': 0.6500813122446081, 'min': 8.928744818999803, 'max': 12.771439299999656}"
extra_long_300_words,rest,50,"{'p50': 0.4386492389999148, 'p90': 0.5464691862999643, 'p95': 0.555757532500138, 'p99': 0.6685234956002383, 'mean': 0.44421113098000203, 'std': 0.07605805978547016, 'min': 0.3404251510000904, 'max': 0.7609785380000176}","{'p50': 0.1263390897725304, 'p90': 0.132054264130327, 'p95': 0.13531940200074485, 'p99': 0.1433148904877936, 'mean': 0.12743369462999174, 'std': 0.00493412487515005, 'min': 0.11721491066138033, 'max': 0.15000091655129993}","{'p50': 10.41928862299983, 'p90': 11.069202623799447, 'p95': 11.57541572039977, 'p99': 11.975822907099836, 'mean': 10.479701932179905, 'std': 0.5808322102249772, 'min': 8.861447246000353, 'max': 12.280075034999754}"
